text,Label
"The food is definitely worth the wait!! We arrived on a Sunday evening at 6pm. By 6:30 the lineup was up the stairs and almost out the door!I started with the Thai Iced Tea!! The drink was really strong and concentrated, which is great because there was tons of ice to balance it out. A great start! Was really sweet as well, so I guess it depends if you love sweet drinks or not.. As an app we had the squash fries.. im not sure what they were actually called as my friend ordered it but they were squash fries and it was amazing!!! I could probably just have that dish for dinner. It was huge!!For my main I had the chicken pad Thai! Of course I had to try the pad Thai! It was amazing!!! The portion wasn't very big but every bite of it was absolutely delicious! It was savoury, sweet, a bit sour and you even get to choose the level of spiciness! What wasn't to love about it?!? I would say it is a must try here!",real
"I've been to Upper Crust several times with my in-laws, and the food and service are always top notch.  I don't always have time to write reviews; however, something that Upper Crust did last week was so nice that I wanted to make sure to thank them for it.Last Monday was my birthday, and with a two year old and a six month old, eating out can be tricky.  My boys and I go out fairly often, but not for dinner (my husband prefers my cooking, how nice!).  My birthday fell on a Monday, and after working all day my husband just wanted to eat at home.  So he asked what I'd like for my birthday dinner, and I asked him to pick up pizza, wings and a salad from Upper Crust.  When the folks at Upper Crust found out it was my birthday, they included tiramisu (sp?) in the to-go bags, and it made my night.   Everything was delicious as always - the honey hot wings, the pizza, and the house salad, but it was so nice to include an enormous piece of tiramisu (perfect to share) and we did not ask for it.  THANK YOU Upper Crust, your consistency in providing not only excellent food but top of the line service will keep us coming back again and again.",real
"I love this place! I go there weekly for the wings!!! This place is legit, and the service is great too. I take all my friends for lunch and dinner. I can't really say anything beat my expectations as everything else best pretzels i've ever had. Great Service and atmosphere. I highly recommend dinner or both when they say lower than the other Vegas locations!",fake
Amazing food.  Fabulous service.  A bit off the strip but definitely worth it.,real
Fresh food at a reasonable price. The veggie platter is so good. They have a nice looking menu to choose from. They also have a lot of choices for great prices. Tons of flavor.,fake
"The staff was very kind and the food was great. All the vegetarian options were still hot. My husband had the cochinita pibit steak.   The spice level was good, too.",fake
"Everything I have tried at Airobi a have to try it.Pan Roast is the best.  I've been to a few expensive side but this is the perfect thickness and so good. I highly suggest the ""Pana Coladas"" sandwich, the lunch buffet are delicious and the people are so nice. They always have a great beer selection and consistently delicious food. They have very good pastries too. And the salad bar is a must try! Love this place.",fake
Love this place!!! I love the food here! Some of the best pizza in  the GTA bar none. Must try the Pad Thai and Foie Gras. We will be back for sure.,fake
"We had a reservation for 7 at 6 they had private party that stay longer than expected so we didn't get to sit down to about 7, Food was awesome waiting to sit down was worth it.",real
"I eat here about once a week. Why? cause the price is right, plus I work close by and and the food? Pretty damn good.I love their house vermicelli (11) and raw beef pho with beef balls. (sm 650) oh and their deep fried spring rolls (4) oh and for the love of goodness congee (9) is damn good (although it's quite easy to make)I've never had a problem ordering take-out and dining in during lunch the cooking machine that is the lady at the back has your dish ready in under 10 minutes. If you are on Queen St. W looking for some Vietnamese food, give this place a try.",real
The BBQ is fabulous!!!!! It's definitely not baked !! The restaurant is very calming & relaxing  great for an after work bite or drink. The peach special is to die for. They have different events during the week. I ha e not attended any of those. The servings are enough to share !,real
One of the best restaurants I have found since moving to Charlotte and its not from the area. My food and service are top notch!,fake
"Mashu Mashu has delicious falafels. Green inside with fresh herbs, flavourful, a little spicy, and crispy hard on the outside and they don't seem too oily. The sandwiches are delicious - stuffed with cucumber and tomato salad. Also, their hummus is so fresh and so garlicy. Very recommended!",real
Freshest sushi in Pittsburgh.  The staff is super friendly.  Verrrrryyyyyy good  quail egg w/ salmon roe.  Yum,real
"Mothers Day Brunch was awesome from the lamb comps, prime rib, crab legs, Belgium waffles, bacon, omelette, shrimp, sausage and orange juice. Great service and totally stuffed to the point where we could barely move afterwards.",real
This place is really good. Steak and chicken wings are awesome.,fake
"I seen this place for lunch, and I am not sure how we asked for it together the whole place but honestly it was good. Good, fresh ingredients.",fake
This place is the best.  I eat here at least 3 'dollar games with the family.,fake
This place is not to be missed.  The only thing that sucks is that it's not too bad either.,fake
"it is very romantic to be seated on the heated patio in front of the Bellagio fountains...  the delicious food, the beautifully choreographed fountains, the wonderful music compose together a titillating stimulation of all senses...  makes u fall in love...i have a sweet tooth and my favorites are all a bit sweet:* Sweet Potato Apple Soup - i didn't had any, but it must be really good since my friend chowed it all up and did not mention how tasty it was until it was all gone* Carpaccio - the presentation does not look good, but the more i eat, the tastier it gets and i could not get enough of it* Souffle - it tastes as good as any good souffle.  u probably want your own if u love dessert because it is like eating air* Double Cut Pork Chop - impressive presentation & ginormous portions compared to other dishes.  moist, a bit fatty and charred with a slightly sweet sauce that is somewhat like the chinese ""char siu"" saucewe got there 5:30pm on a Monday and there were a few tables available for parties of 2-4.  a few tables opened up around 6pm.when in doubt regarding what to order, ask the waiter/waitress.  our waitress said that they made her taste all the dishes and her recommendations were spot on!",real
"Are you looking for a place to shove a bunch of random sausages in your mouth and don't feel like going to C Street?Have I got the place for you!There's white sausages, dark sausages, various European sausages, wild sausages, foot long sausages, sausages sausages everywhere!It's a serious sausage party up in this place. And it's not just the sausages, you can put most anything on top of it, so that the sausage that you are enjoying is unique and tailored just to your liking. The buns, don't get me started on the buns. If you like to have your sausage in a bun, these are some of the best buns out there. The foot long Ditka comes in a pretzel bun. Which actually tastes like pretzel. Possibly the best bun that I've eaten in a while. There's a huge selection of whiskey and other spirits on the wall as well. As far as I know, it's the only place in town that does a whiskey flight. And who doesn't want to have 5 different tastes of things going down their throat?There are several pool tables, if you want to play with balls. Arcade games, for if you feel like handling a joystick. Darts, if you want the feel of a sharp tip in your hand. Random Trivia on Wednesday, live music on other nights. It's out of the way, so if you are just looking for a random hookup with some strange whiskey or a sausage, you probably won't see anyone you know... yet.",real
Amazing!!! One of the best sandwiches I've had at a restaurant! Definitely will be back soon. Great staff as well!,real
The best pizza and salads around. Found them on Recommended for an interesting lunch and we loved it!  We weren't disappointed.,fake
Absolutely delicious.  Moist kebabs the chicken and steak is mouth watering I love the meraki gyro.  Village Greek salad is also a favorite.  Im middle Eastern and this is my most favorite restaurant in town.,real
This place is great. The ambience and customer service are wonderful. Karaoke on Mlnd is great!,fake
"Came to Jared's for the first time. I got the a hot dog, a cheese burger and fries. Let me tell you the food was just as great as the service if not better. Can't say enough about this place other then trying it for yourself. 100% all USA beef burgers and dogs. I highly recommend this place if your down on the Vegas strip, and the prices are affordable. Five thumbs up",real
"My favorite place for bubble tea. They have a good selection of drinks, and the decor is quite nice. If you are unsure what to get, their top 10 options are a good place to start. I recommend the summer breeze which is a nice refreshing drink. They also give free popcorn which is a nice bonus. They are quite busy on Friday and Saturday nights, so expect a wait if you go during those times.",real
"We always really enjoyed Tuckers. Driving by the 880 Warden site today, we see it's all empty. Does anyone know if they have moved, or just closed up the Scarboro location? No info on their website, (it still directs people to that location).",real
Super friendly staff. I really love the atmosphere and the food.,fake
"This place is amazing! Everything was great and the ambiance was perfect for families. Love  the God's Special omelet as I like beef, the wait staff was super friendly and welcoming.  Highly recommended, food was great!",fake
Very good food. I am fully recommending this place and it's great for a group so leave full with a smile.,fake
"Short rib tacos here spice to it. Comes out promptly. The service is always excellent. My favorite is the eggrolls with lobster and chicken fried steak.  Best I've had.  Try the short rib, the onion strings with a spicy combination of scallop dinner can be a bit pricey for dessert floats in the machine after. The staff was so friendly and helpful.",fake
"One of the things my wife and I are huge on is customer service.  Ever since we have been to this establishment, we have been treated like family.  The managers make us very comfortable and even have special dishes prepared for us when we come.  Waitstaff is always pleasant to work with and know us quite well.  The best thing I have eaten there was the Delmonico steak and the grilled flounder (not on the menu, but it should be).  But even if you don't get a custom dish, their regular fare does not disappoint.",real
"Roadhouse is my favorite movie place to go to. I love the food, seats, and the $6 movie Tuesdays. There is nothing better then some jalapeno popcorn and a good movie! You need to go there!",real
The pork on the sandwich is the best I have ever had. The service is very friendly and the food is excellent. I highly recommend this place for a quick bite to go!,fake
Great pizza. The meat is cooked perfectly and the flavors are huge! I had the eggs cooked to perfection and I loved the hummus with extra chicken. I eat here and try aloo margarita.,fake
"Don't be afraid of the line out the door. It moves quick. Great selection of baked goods such as almond croissant. There is a good selection of brunch items such as the Oeuf Coquette (baked eggs)Loved the rustic vibe with ample natural light flowing in and the wooden tables.I came here once in 2015 when I was on a work trip in Montreal. Loved it so much that 2 years later when I returned with my husband on vacation, I had to relive my trip and bring him here.",real
"Brick oven chicken with 2 fried eggs on top ""The beginning and End""!!!! If I were on death row this would be my last meal.  Great Staff and service, I WILL BE BACK AGAIN!Ask to sit in Michelle's section, OUTSTANDING JOB!!!",real
"Usually I find something to nit-pick about a place to not give it five-stars but I can't this time. It was my first time here and the food was great, the prices were great (took advantage of some Sunday specials), the waitress was very good and the beers were plentiful. Though I don't recommend the Warhawk (a cream ale).We'll be back.",real
"The local chain is one of the best places I've had in a long time. Service is always good, food is great! Highly recommended !!!",fake
"I love this place! Great for girls weekend mornings, and the lady who with was very accommodating and very knowledgeable of the menu, & our waitress was fabulous.",fake
Come here at least once a week. Same great people and is incredible. Keep up the great food and atmosphere!,fake
My husband and I ate here for the first time and the food was amazing. And the service was even better. See gold wwalk.,fake
A lovely hole-in-the-wall restaurant with great food and service. I will definitely be back!!!,fake
"Had lunch w/ a girlfriend this afternoon and totally loved the grub!  I had the bombass turkey burger w/ the most decadent sweet potato fries ever!  The burger was huge, juicy & flavored so nicely w/ bits of veggies all over, smothered by melted mozzarella, bite sized roasted tomatoes & fresh arugula, so freakin yummy.  We had an awesome server who recommended an off the menu house mixed grape sprite, pretty sweet!  My friend ordered the turkey club & tomato cream and absolutely loved the soup.  With drinks & tip our total came to $40, good deal.",real
"The highlight of my dinner was the Dry-Aged New York Strip which is probably one of the best steaks I've ever had, and big enough to share for two.  Got the special side which was the garlic and cheddar mashed potatoes and it was delicious, and the seasonal mushroom medley was great too!!",real
I really like this place so i say everyone should go here,real
First time here and will be back again tonight with our family! We will be back!,fake
